City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,San Matias,BO,75.06,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
439,Torit,SS,78.42,overcast clouds,4.4133,32.5678,Diplomat Guest House
440,Ranau,MY,77.65,broken clouds,5.9538,116.6641,The Second Room
442,Suba,PH,79.88,overcast clouds,10.8438,121.0102,Jarnchi Pension House
443,Amuntai,ID,82.29,overcast clouds,-2.4177,115.2494,Hotel Balqis
444,Sibolga,ID,76.71,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
447,Martapura,ID,82.49,few clouds,-3.4167,114.85,Montana Hotel Syariah
462,Mackay,AU,82.69,overcast clouds,-21.15,149.2,International Lodge Motel
465,Iracoubo,GF,76.3,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
470,Bima,ID,86.0,scattered clouds,-8.4667,118.7167,Lambitu Hotel
471,Charters Towers,AU,75.81,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
476,Acajutla,SV,77.81,clear sky,13.5928,-89.8275,Laureles
485,Caraballeda,VE,78.87,few clouds,10.6112,-66.8522,Hotel 15 Letras
489,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
498,Isangel,VU,84.31,heavy intensity rain,-19.55,169.2667,Tanna Lodge
505,Tutoia,BR,84.18,overcast clouds,-2.7619,-42.2744,Pousada Guará's
511,Noumea,NC,87.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
517,Namatanai,PG,84.51,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
520,San Policarpo,PH,77.23,overcast clouds,12.1791,125.5072,Agapita M. Nicart
522,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
524,Rio Grande,BR,77.05,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
526,Santa Cruz,BO,76.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
537,Sijunjung,ID,77.34,moderate rain,-0.6876,100.9537,Hotel Bukik Gadang
541,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
546,Tanete,ID,86.43,broken clouds,-3.9443,119.7848,Wisma Tri Multi
549,Pangai,TO,81.88,light rain,-19.8,-174.35,Ha'apai Beach Resort
556,Mogadishu,SO,75.9,clear sky,2.0371,45.3438,Hotel Juba
562,Antalaha,MG,75.81,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
564,Corn Island,NI,80.44,clear sky,12.1694,-83.0418,Big Fish Guest House
565,Papara,BR,81.0,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
567,Harper,LR,77.81,light rain,4.375,-7.7169,Screensaver
572,Labuhan,ID,81.81,broken clouds,-6.8844,112.2051,DoubleFAG
573,Puerto Ayacucho,VE,82.18,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
584,Tabuk,PH,76.12,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
586,Anloga,GH,82.62,clear sky,5.7947,0.8973,Pin Drop Hotel
594,Sidney,AU,75.22,light intensity shower rain,-33.8679,151.2073,The Grace Sydney
595,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
599,Barra,BR,79.03,broken clouds,-11.0894,-43.1417,Motel Albatroz
603,Mahibadhoo,MV,80.87,few clouds,3.7833,72.9667,Omadhoo Inn
605,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
613,Tautira,PF,87.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
614,Kirakira,SB,81.97,light rain,-10.4544,161.9205,SanBiz Lodge
616,Tual,ID,83.52,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
617,Nacala,MZ,75.87,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
620,Gizo,SB,81.52,overcast clouds,-8.103,156.8419,Imagination Island
621,Alta Floresta,BR,75.02,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
622,Yeppoon,AU,83.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
627,Santa Cruz Cabralia,BR,80.83,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
630,Yenagoa,NG,76.87,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
637,Pak Phanang,TH,82.42,clear sky,8.3511,100.202,Green Park Inn Hotel
647,Macapa,BR,80.58,broken clouds,0.0389,-51.0664,Atalanta Hotel
660,Port Augusta,AU,77.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
671,Petatlan,MX,80.4,clear sky,17.5167,-101.2667,Hotel California Petatlán
672,Maragogi,BR,78.8,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
673,Tabou,CI,77.88,light rain,4.423,-7.3528,hotêl doufoulougou
677,Sao Paulo Do Potengi,BR,82.08,few clouds,-5.895,-35.7628,Pousada e Restaurante Carne Assada do Ari
678,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
686,La Asuncion,VE,78.53,clear sky,11.0333,-63.8628,Colinas de Matasiete
698,Cairns,AU,85.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
704,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
705,Paciran,ID,81.9,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
711,Grand-Lahou,CI,78.01,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
